[SOMMET]
0	DEPART	442	475	null	true	J0	0
4	Vert	336	92	AG	false	J0	95
8	Vert	265	111	NI	false	J0	96
2	Vert	317	187	NR	false	J0	97
3	Vert	394	175	NI	false	J0	98
6	Vert	251	239	TI	false	J0	99
6	Bleu	336	284	NI	false	J0	100
8	Bleu	414	270	CO	false	J0	101
5	Rouge	80	300	FE	false	J0	102
3	Rouge	156	298	NR	false	J0	103
1	Rouge	257	322	AL	false	J0	104
2	Gris	510	295	PT	false	J0	105
3	Bleu	308	382	AG	false	J0	106
4	Bleu	346	339	AL	false	J0	107
2	Bleu	440	366	AG	false	J0	108
4	Gris	575	337	PT	false	J0	109
3	Jaune	648	319	FE	false	J0	110
4	Rouge	111	456	AU	false	J0	111
2	Rouge	185	440	CO	false	J0	112
2	Marron	353	428	AU	false	J0	113
0	Gris	576	433	FE	false	J0	114
1	Jaune	696	442	TI	false	J0	115
4	Jaune	774	443	AG	false	J0	116
5	Marron	200	517	CO	false	J0	117
3	Marron	330	542	NR	false	J0	118
4	Marron	427	541	NR	false	J0	119
1	Marron	501	519	AL	false	J0	120
3	Gris	606	512	AL	false	J0	121
1	Gris	556	586	FE	false	J0	122
5	Jaune	696	583	NI	false	J0	123
2	Jaune	773	582	CO	false	J0	124

[ROUTES]
1	95	96	J0
1	95	97	J0
1	96	97	J0
1	95	98	J0
1	97	98	J0
1	99	97	J0
1	99	100	J0
1	100	97	J0
1	100	101	J0
1	101	98	J0
2	102	99	J0
1	102	103	J0
1	103	99	J0
1	104	100	J0
1	104	103	J0
1	105	108	J0
1	106	104	J0
1	106	100	J0
1	106	107	J0
1	107	108	J0
1	107	101	J0
1	109	105	J0
1	101	108	J0
2	109	110	J0
2	111	102	J0
1	111	112	J0
1	104	112	J0
1	112	94	J0
1	94	107	J0
2	94	113	J0
1	112	105	J0
2	113	108	J0
1	113	114	J0
1	114	115	J0
1	115	109	J0
1	116	117	J0
2	116	111	J0
1	117	118	J0
1	118	119	J0
2	117	112	J0
1	119	94	J0
1	120	113	J0
2	120	114	J0
1	121	120	J0
2	121	119	J0
2	121	122	J0
1	123	122	J0
2	122	114	J0
2	123	115	J0
